date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:58:58	1286/1286	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2000:58:58%20GMT	http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/?C=M;O=A	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/pthreads/indexf8a0.html	(from http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/)
19:58:59	1286/1286	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2000:58:59%20GMT	http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/?C=D;O=A	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/notes/pthreads/index30b5.html	(from http://www.cdf.toronto.edu/~ajr/209/notes/pthreads/)
19:58:59	210/210	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Jan%202017%2000:58:59%20GMT	http://www.cdf.toronto.edu/~ajr/209/tut/01	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/tut/01	(from http://www.cdf.toronto.edu/~ajr/209/tut/01/)
19:58:59	210/210	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Jan%202017%2000:58:59%20GMT	http://www.cdf.toronto.edu/~ajr/209/tut/02	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/tut/02	(from http://www.cdf.toronto.edu/~ajr/209/tut/01/)
19:58:59	17345/17345	---M-Z	200	added ('OK')	text/plain	etag:%2243c1-2f687396ec580-gzip%22	http://www.rfc-editor.org/rfc/rfc1958.txt	/home/tamfire/websites/209/www.rfc-editor.org/rfc/rfc1958.txt	(from http://www.cdf.toronto.edu/~ajr/209/lect/15.html)
19:58:59	211/211	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Jan%202017%2000:58:59%20GMT	http://www.cdf.toronto.edu/~ajr/209/tut/03	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/tut/03	(from http://www.cdf.toronto.edu/~ajr/209/tut/01/)
19:58:59	211/211	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Jan%202017%2000:58:59%20GMT	http://www.cdf.toronto.edu/~ajr/209/tut/04	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/tut/04	(from http://www.cdf.toronto.edu/~ajr/209/tut/01/)
19:58:59	33171/33171	---M--	200	added ('OK')	image/jpeg	etag:%22106e214-8193-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.031.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.031.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:59:00	211/211	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Jan%202017%2000:58:59%20GMT	http://www.cdf.toronto.edu/~ajr/209/tut/05	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/tut/05	(from http://www.cdf.toronto.edu/~ajr/209/tut/01/)
19:59:00	212/212	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Jan%202017%2000:59:00%20GMT	http://www.cdf.toronto.edu/~ajr/209/tut/06	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/tut/06	(from http://www.cdf.toronto.edu/~ajr/209/tut/01/)
19:59:00	211/211	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Jan%202017%2000:59:00%20GMT	http://www.cdf.toronto.edu/~ajr/209/tut/07	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/tut/07	(from http://www.cdf.toronto.edu/~ajr/209/tut/01/)
19:59:00	211/211	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Jan%202017%2000:59:00%20GMT	http://www.cdf.toronto.edu/~ajr/209/tut/08	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/tut/08	(from http://www.cdf.toronto.edu/~ajr/209/tut/01/)
19:59:00	211/211	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Jan%202017%2000:59:00%20GMT	http://www.cdf.toronto.edu/~ajr/209/tut/09	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/tut/09	(from http://www.cdf.toronto.edu/~ajr/209/tut/01/)
